Item,Quantity,Price,Description,Vendor,Link,Total
PCB,1,29.09,Custom PCB,PCBWay,,29.09
Voltage adapter,5,0.99,Voltage adapter,AliExpress,https://www.aliexpress.us/item/3256807185153280.html,4.95
Voltage adapter (10 pcs),1,0.99,10‑pack voltage adapters,AliExpress,https://www.aliexpress.us/item/3256805458618711.html,0.99
USB‑C receptacle (3 pcs),1,0.99,3‑pack USB‑C receptacles,AliExpress,https://www.aliexpress.us/item/2255800128143979.html,0.99
JST‑PH (100 pcs),1,0.99,100‑pack JST‑PH connectors,AliExpress,https://www.aliexpress.us/item/3256804769340392.html,0.99
Holy Panda switches (80 pcs),1,7.6,Holy Panda switches,AliExpress,https://www.aliexpress.us/item/3256804202248944.html,7.6
Crystal (5 pcs),1,0.99,Crystal resonators,AliExpress,https://www.aliexpress.us/item/3256807121617662.html,0.99
Rotary encoders (2 pcs),1,2.45,Rotary encoders,AliExpress,https://www.aliexpress.us/item/3256807315397735.html,2.45
Kailh hot‑swap sockets (110 pcs),1,0.99,Hot‑swap sockets,AliExpress,https://www.aliexpress.us/item/3256807045726008.html,0.99
SMD capacitors (100 pcs),1,0.99,SMD capacitors,AliExpress,https://www.aliexpress.us/item/2251832780211793.html,0.99
SMD resistors (100 pcs),1,0.86,SMD resistors,AliExpress,https://www.aliexpress.us/item/3256805493919529.html,0.86
ESP32‑C3,1,2.49,ESP32‑C3 module,AliExpress,https://www.aliexpress.us/item/3256807971464193.html,2.49
LiPo battery 102530,1,0.99,102530 LiPo battery,AliExpress,https://www.aliexpress.us/item/3256808031709894.html,0.99
Diodes (20 pcs),1,2.6,20‑pack diodes,AliExpress,https://www.aliexpress.us/item/3256803373126024.html,2.6
